Name;NoF;CTC;eCTC;packTime
30-5-2-8;30;5;2;10
30-5-2-9;30;5;2;12
30-5-5-0;30;5;5;7
30-5-5-1;30;5;5;11
30-5-5-2;30;5;5;6
30-5-5-3;30;5;5;3
30-5-5-4;30;5;5;9
30-5-5-5;30;5;5;5
30-5-5-6;30;5;5;5
30-5-5-7;30;5;5;11
30-5-5-8;30;5;5;10
30-5-5-9;30;5;5;10
30-10-0-0;30;10;0;13
30-10-0-1;30;10;0;11
30-10-0-2;30;10;0;3
30-10-0-3;30;10;0;10
30-10-0-4;30;10;0;9
30-10-0-5;30;10;0;4
30-10-0-6;30;10;0;9
30-10-0-7;30;10;0;12
30-10-0-8;30;10;0;8
30-10-0-9;30;10;0;10
30-10-2-0;30;10;2;5
30-10-2-1;30;10;2;5
30-10-2-2;30;10;2;5
30-10-2-3;30;10;2;11
30-10-2-4;30;10;2;8
30-10-2-5;30;10;2;10
30-10-2-6;30;10;2;7
30-10-2-7;30;10;2;4
30-10-2-8;30;10;2;5
30-10-2-9;30;10;2;10
30-10-5-0;30;10;5;4
30-10-5-1;30;10;5;6
30-10-5-2;30;10;5;9
30-10-5-3;30;10;5;6
30-10-5-4;30;10;5;7
30-10-5-5;30;10;5;12
30-10-5-6;30;10;5;9
30-10-5-7;30;10;5;9
30-10-5-8;30;10;5;8
30-10-5-9;30;10;5;8
30-15-0-0;30;15;0;11
30-15-0-1;30;15;0;9
30-15-0-2;30;15;0;9
30-15-0-3;30;15;0;5
30-15-0-4;30;15;0;5
30-15-0-5;30;15;0;10
30-15-0-6;30;15;0;7
30-15-0-7;30;15;0;10
30-15-0-8;30;15;0;10
30-15-0-9;30;15;0;8
30-15-2-0;30;15;2;8
30-15-2-1;30;15;2;6
30-15-2-2;30;15;2;8
30-15-2-3;30;15;2;8
30-15-2-4;30;15;2;7
30-15-2-5;30;15;2;7
30-15-2-6;30;15;2;8
30-15-2-7;30;15;2;6
30-15-2-8;30;15;2;4
30-15-2-9;30;15;2;6
30-15-5-0;30;15;5;3
30-15-5-1;30;15;5;6
30-15-5-2;30;15;5;4
30-15-5-3;30;15;5;3
30-15-5-4;30;15;5;9
30-15-5-5;30;15;5;5
30-15-5-6;30;15;5;1
30-15-5-7;30;15;5;5
30-15-5-8;30;15;5;3
30-15-5-9;30;15;5;5
50-5-0-0;50;5;0;141
50-5-0-1;50;5;0;80
50-5-0-2;50;5;0;75
50-5-0-3;50;5;0;27
50-5-0-4;50;5;0;32
50-5-0-5;50;5;0;25
50-5-0-6;50;5;0;22
50-5-0-7;50;5;0;22
50-5-0-8;50;5;0;21
50-5-0-9;50;5;0;24
50-5-2-0;50;5;2;20
50-5-2-1;50;5;2;21
50-5-2-2;50;5;2;19
50-5-2-3;50;5;2;16
50-5-2-4;50;5;2;8
50-5-2-5;50;5;2;14
50-5-2-6;50;5;2;19
50-5-2-7;50;5;2;15
50-5-2-8;50;5;2;21
50-5-2-9;50;5;2;16
50-5-5-0;50;5;5;19
50-5-5-1;50;5;5;7
50-5-5-2;50;5;5;14
50-5-5-3;50;5;5;19
50-5-5-4;50;5;5;19
50-5-5-5;50;5;5;20
50-5-5-6;50;5;5;14
50-5-5-7;50;5;5;21
50-5-5-8;50;5;5;17
50-5-5-9;50;5;5;13
50-10-0-0;50;10;0;9
50-10-0-1;50;10;0;16
50-10-0-2;50;10;0;21
50-10-0-3;50;10;0;20
50-10-0-4;50;10;0;18
50-10-0-5;50;10;0;21
50-10-0-6;50;10;0;4
50-10-0-7;50;10;0;12
50-10-0-8;50;10;0;11
50-10-0-9;50;10;0;18
50-10-2-0;50;10;2;8
50-10-2-1;50;10;2;17
50-10-2-2;50;10;2;2
50-10-2-3;50;10;2;15
50-10-2-4;50;10;2;10
50-10-2-5;50;10;2;17
50-10-2-6;50;10;2;11
50-10-2-7;50;10;2;16
50-10-2-8;50;10;2;8
50-10-2-9;50;10;2;20
50-10-5-0;50;10;5;16
50-10-5-1;50;10;5;13
50-10-5-2;50;10;5;12
50-10-5-3;50;10;5;14
50-10-5-4;50;10;5;15
50-10-5-5;50;10;5;7
50-10-5-6;50;10;5;15
50-10-5-7;50;10;5;17
50-10-5-8;50;10;5;14
50-10-5-9;50;10;5;18
50-15-0-0;50;15;0;3
50-15-0-1;50;15;0;17
50-15-0-2;50;15;0;16
50-15-0-3;50;15;0;13
50-15-0-4;50;15;0;7
50-15-0-5;50;15;0;16
50-15-0-6;50;15;0;15
50-15-0-7;50;15;0;20
50-15-0-8;50;15;0;17
50-15-0-9;50;15;0;17
50-15-2-0;50;15;2;7
50-15-2-1;50;15;2;25
50-15-2-2;50;15;2;21
50-15-2-3;50;15;2;18
50-15-2-4;50;15;2;17
50-15-2-5;50;15;2;13
50-15-2-6;50;15;2;12
50-15-2-7;50;15;2;17
50-15-2-8;50;15;2;18
50-15-2-9;50;15;2;7
50-15-5-0;50;15;5;20
50-15-5-1;50;15;5;18
50-15-5-2;50;15;5;9
50-15-5-3;50;15;5;9
50-15-5-4;50;15;5;2
50-15-5-5;50;15;5;2
50-15-5-6;50;15;5;12
50-15-5-7;50;15;5;11
50-15-5-8;50;15;5;13
50-15-5-9;50;15;5;18
100-5-0-0;100;5;0;90
100-5-0-1;100;5;0;61
100-5-0-2;100;5;0;46
100-5-0-3;100;5;0;51
100-5-0-4;100;5;0;54
100-5-0-5;100;5;0;46
100-5-0-6;100;5;0;47
100-5-0-7;100;5;0;47
100-5-0-8;100;5;0;55
100-5-0-9;100;5;0;43
100-5-2-0;100;5;2;42
100-5-2-1;100;5;2;21
100-5-2-2;100;5;2;42
100-5-2-3;100;5;2;29
100-5-2-4;100;5;2;30
100-5-2-5;100;5;2;47
100-5-2-6;100;5;2;46
100-5-2-7;100;5;2;38
100-5-2-8;100;5;2;36
100-5-2-9;100;5;2;13
100-5-5-0;100;5;5;41
100-5-5-1;100;5;5;37
100-5-5-2;100;5;5;36
100-5-5-3;100;5;5;25
100-5-5-4;100;5;5;41
100-5-5-5;100;5;5;44
100-5-5-6;100;5;5;37
100-5-5-7;100;5;5;25
100-5-5-8;100;5;5;34
100-5-5-9;100;5;5;38
100-10-0-0;100;10;0;41
100-10-0-1;100;10;0;34
100-10-0-2;100;10;0;57
100-10-0-3;100;10;0;42
100-10-0-4;100;10;0;39
100-10-0-5;100;10;0;12
100-10-0-6;100;10;0;41
100-10-0-7;100;10;0;44
100-10-0-8;100;10;0;26
100-10-0-9;100;10;0;21
100-10-2-0;100;10;2;41
100-10-2-1;100;10;2;15
100-10-2-2;100;10;2;43
100-10-2-3;100;10;2;34
100-10-2-4;100;10;2;40
100-10-2-5;100;10;2;40
100-10-2-6;100;10;2;31
