Name;NoF;CTC;eCTC;packTime
1000-10-2-7;1000;10;2;4864
1000-10-2-8;1000;10;2;4710
1000-10-2-9;1000;10;2;4761
1000-10-5-0;1000;10;5;5013
1000-10-5-1;1000;10;5;1995
1000-10-5-2;1000;10;5;4001
1000-10-5-3;1000;10;5;716
1000-10-5-4;1000;10;5;3375
1000-10-5-5;1000;10;5;3618
1000-10-5-6;1000;10;5;5273
1000-10-5-7;1000;10;5;731
1000-10-5-8;1000;10;5;850
1000-10-5-9;1000;10;5;2457
1000-15-0-0;1000;15;0;5021
1000-15-0-1;1000;15;0;5302
1000-15-0-2;1000;15;0;5136
1000-15-0-3;1000;15;0;929
1000-15-0-4;1000;15;0;4724
1000-15-0-5;1000;15;0;5192
1000-15-0-6;1000;15;0;5586
1000-15-0-7;1000;15;0;4991
1000-15-0-8;1000;15;0;4488
1000-15-0-9;1000;15;0;5186
1000-15-2-0;1000;15;2;5067
1000-15-2-1;1000;15;2;4538
1000-15-2-2;1000;15;2;2400
1000-15-2-3;1000;15;2;4985
1000-15-2-4;1000;15;2;540
1000-15-2-5;1000;15;2;5360
1000-15-2-6;1000;15;2;5304
1000-15-2-7;1000;15;2;4833
1000-15-2-8;1000;15;2;5028
1000-15-2-9;1000;15;2;983
1000-15-5-0;1000;15;5;1146
1000-15-5-1;1000;15;5;1824
1000-15-5-2;1000;15;5;1057
1000-15-5-3;1000;15;5;4509
1000-15-5-4;1000;15;5;1967
1000-15-5-5;1000;15;5;4816
1000-15-5-6;1000;15;5;1201
1000-15-5-7;1000;15;5;568
1000-15-5-8;1000;15;5;5032
1000-15-5-9;1000;15;5;1255
2000-5-0-0;2000;5;0;22203
2000-5-0-1;2000;5;0;22654
2000-5-0-2;2000;5;0;17913
2000-5-0-3;2000;5;0;20360
2000-5-0-4;2000;5;0;22820
2000-5-0-5;2000;5;0;22696
2000-5-0-6;2000;5;0;22971
2000-5-0-7;2000;5;0;21431
2000-5-0-8;2000;5;0;21034
2000-5-0-9;2000;5;0;21921
2000-5-2-0;2000;5;2;22041
2000-5-2-1;2000;5;2;15083
2000-5-2-2;2000;5;2;19539
2000-5-2-3;2000;5;2;21233
2000-5-2-4;2000;5;2;21946
2000-5-2-5;2000;5;2;18762
2000-5-2-6;2000;5;2;21012
2000-5-2-7;2000;5;2;10197
2000-5-2-8;2000;5;2;16078
2000-5-2-9;2000;5;2;22213
2000-5-5-0;2000;5;5;7519
2000-5-5-1;2000;5;5;21351
2000-5-5-2;2000;5;5;10175
2000-5-5-3;2000;5;5;21501
2000-5-5-4;2000;5;5;19547
2000-5-5-5;2000;5;5;14402
2000-5-5-6;2000;5;5;17326
2000-5-5-7;2000;5;5;18400
2000-5-5-8;2000;5;5;17009
2000-5-5-9;2000;5;5;18800
2000-10-0-0;2000;10;0;21862
2000-10-0-1;2000;10;0;22398
2000-10-0-2;2000;10;0;21682
2000-10-0-3;2000;10;0;22034
2000-10-0-4;2000;10;0;12426
2000-10-0-5;2000;10;0;21783
2000-10-0-6;2000;10;0;22073
2000-10-0-7;2000;10;0;16808
2000-10-0-8;2000;10;0;20301
2000-10-0-9;2000;10;0;21985
2000-10-2-0;2000;10;2;21595
2000-10-2-1;2000;10;2;21523
2000-10-2-2;2000;10;2;21131
2000-10-2-3;2000;10;2;9723
2000-10-2-4;2000;10;2;21713
2000-10-2-5;2000;10;2;21673
2000-10-2-6;2000;10;2;20469
2000-10-2-7;2000;10;2;22786
2000-10-2-8;2000;10;2;13943
2000-10-2-9;2000;10;2;16036
2000-10-5-0;2000;10;5;20823
2000-10-5-1;2000;10;5;4662
2000-10-5-2;2000;10;5;4928
2000-10-5-3;2000;10;5;20755
2000-10-5-4;2000;10;5;17101
2000-10-5-5;2000;10;5;21983
2000-10-5-6;2000;10;5;4337
2000-10-5-7;2000;10;5;5187
2000-10-5-8;2000;10;5;21939
2000-10-5-9;2000;10;5;21028
2000-15-0-0;2000;15;0;21005
2000-15-0-1;2000;15;0;3795
2000-15-0-2;2000;15;0;20148
2000-15-0-3;2000;15;0;2492
2000-15-0-4;2000;15;0;22335
2000-15-0-5;2000;15;0;21684
2000-15-0-6;2000;15;0;21355
2000-15-0-7;2000;15;0;21774
2000-15-0-8;2000;15;0;21752
2000-15-0-9;2000;15;0;21381
2000-15-2-0;2000;15;2;21852
2000-15-2-1;2000;15;2;21285
2000-15-2-2;2000;15;2;10513
2000-15-2-3;2000;15;2;21020
2000-15-2-4;2000;15;2;21419
2000-15-2-5;2000;15;2;4121
2000-15-2-6;2000;15;2;21129
2000-15-2-7;2000;15;2;2448
2000-15-2-8;2000;15;2;21887
2000-15-2-9;2000;15;2;20898
2000-15-5-0;2000;15;5;20990
2000-15-5-1;2000;15;5;19172
2000-15-5-2;2000;15;5;21333
2000-15-5-3;2000;15;5;21428
2000-15-5-4;2000;15;5;5345
2000-15-5-5;2000;15;5;3483
2000-15-5-6;2000;15;5;21200
2000-15-5-7;2000;15;5;21427
2000-15-5-8;2000;15;5;3461
2000-15-5-9;2000;15;5;20812
