Name;nectc;i;prunningPropagation;pruningTime;priorizationPropagation;prioritizationTime;packagingTime
aircraft_fm;0;0;5;50;4;38;48
aircraft_fm;0;1;3;22;3;28;33
aircraft_fm;0;2;2;19;3;24;30
aircraft_fm;0;3;2;21;2;21;24
aircraft_fm;0;4;1;19;2;18;20
aircraft_fm;0;5;1;12;1;10;12
aircraft_fm;0;6;1;8;1;11;13
aircraft_fm;0;7;1;9;0;9;11
aircraft_fm;0;8;1;9;1;8;9
aircraft_fm;0;9;1;7;0;6;7
aircraft_fm;2;0;1;6;1;6;9
aircraft_fm;2;1;1;6;1;7;8
aircraft_fm;2;2;0;5;1;7;9
aircraft_fm;2;3;0;0;0;0;0
aircraft_fm;2;4;1;7;1;8;11
aircraft_fm;2;5;0;0;0;0;0
aircraft_fm;2;6;0;0;0;0;0
aircraft_fm;2;7;1;5;1;6;8
aircraft_fm;2;8;1;4;1;6;8
aircraft_fm;2;9;0;0;0;0;0
aircraft_fm;5;0;0;0;0;0;0
aircraft_fm;5;1;0;0;0;0;0
aircraft_fm;5;2;0;0;0;0;0
aircraft_fm;5;3;0;0;0;0;0
aircraft_fm;5;4;0;0;0;0;0
aircraft_fm;5;5;0;0;0;0;0
aircraft_fm;5;6;0;0;0;0;0
aircraft_fm;5;7;0;5;1;4;5
aircraft_fm;5;8;0;4;0;3;4
aircraft_fm;5;9;0;2;0;3;4
arcade_game_pl_fm;0;0;3;37;3;43;50
arcade_game_pl_fm;0;1;3;47;3;41;52
arcade_game_pl_fm;0;2;3;36;3;39;49
arcade_game_pl_fm;0;3;3;30;3;34;43
arcade_game_pl_fm;0;4;2;33;2;38;49
arcade_game_pl_fm;0;5;2;30;2;36;42
arcade_game_pl_fm;0;6;2;33;2;34;44
arcade_game_pl_fm;0;7;2;31;1;38;47
arcade_game_pl_fm;0;8;1;34;1;34;43
arcade_game_pl_fm;0;9;1;26;2;32;40
arcade_game_pl_fm;2;0;0;0;0;0;0
arcade_game_pl_fm;2;1;0;0;0;0;0
arcade_game_pl_fm;2;2;2;31;2;28;36
arcade_game_pl_fm;2;3;0;0;0;0;0
arcade_game_pl_fm;2;4;0;0;0;0;0
arcade_game_pl_fm;2;5;0;0;0;0;0
arcade_game_pl_fm;2;6;0;0;0;0;0
arcade_game_pl_fm;2;7;0;0;0;0;0
arcade_game_pl_fm;2;8;0;0;0;0;0
arcade_game_pl_fm;2;9;0;0;0;0;0
arcade_game_pl_fm;5;0;0;0;0;0;0
arcade_game_pl_fm;5;1;0;0;0;0;0
arcade_game_pl_fm;5;2;1;25;2;36;45
arcade_game_pl_fm;5;3;0;0;0;0;0
arcade_game_pl_fm;5;4;0;0;0;0;0
arcade_game_pl_fm;5;5;2;31;2;39;48
arcade_game_pl_fm;5;6;0;0;0;0;0
arcade_game_pl_fm;5;7;0;0;0;0;0
arcade_game_pl_fm;5;8;0;0;0;0;0
arcade_game_pl_fm;5;9;0;0;0;0;0
car_fm;0;0;0;1;0;2;2
car_fm;0;1;0;1;0;1;1
car_fm;0;2;1;1;0;1;2
car_fm;0;3;0;1;1;0;1
car_fm;0;4;0;1;0;1;2
car_fm;0;5;0;1;0;1;2
car_fm;0;6;0;1;0;1;2
car_fm;0;7;0;2;1;1;1
car_fm;0;8;0;2;0;2;2
car_fm;0;9;0;1;0;1;1
car_fm;2;0;0;1;1;0;1
car_fm;2;1;1;0;0;0;1
car_fm;2;2;0;0;0;0;0
car_fm;2;3;0;0;0;0;0
car_fm;2;4;0;1;0;1;1
car_fm;2;5;0;0;0;0;0
car_fm;2;6;0;1;1;0;1
car_fm;2;7;0;0;0;0;0
car_fm;2;8;1;0;0;0;1
car_fm;2;9;0;0;0;0;0
car_fm;5;0;0;0;0;0;0
car_fm;5;1;0;0;0;0;0
car_fm;5;2;0;0;0;0;0
car_fm;5;3;0;0;0;0;0
car_fm;5;4;0;0;0;0;0
car_fm;5;5;0;0;0;0;0
car_fm;5;6;0;1;0;1;0
car_fm;5;7;0;0;0;0;0
car_fm;5;8;0;0;0;0;0
car_fm;5;9;0;1;0;1;1
cfdp_library_fm;0;0;0;2;0;1;2
cfdp_library_fm;0;1;0;3;0;2;2
cfdp_library_fm;0;2;0;3;0;2;2
cfdp_library_fm;0;3;0;3;0;3;4
cfdp_library_fm;0;4;0;3;0;3;4
cfdp_library_fm;0;5;0;3;0;2;3
cfdp_library_fm;0;6;0;2;0;2;2
cfdp_library_fm;0;7;0;2;0;3;3
cfdp_library_fm;0;8;0;2;0;3;4
cfdp_library_fm;0;9;0;3;1;2;2
cfdp_library_fm;2;0;0;0;0;0;0
cfdp_library_fm;2;1;0;0;0;0;0
cfdp_library_fm;2;2;0;0;0;0;0
cfdp_library_fm;2;3;0;2;0;2;2
cfdp_library_fm;2;4;0;0;0;0;0
cfdp_library_fm;2;5;0;0;0;0;0
cfdp_library_fm;2;6;0;0;0;0;0
cfdp_library_fm;2;7;0;1;0;2;3
cfdp_library_fm;2;8;0;0;0;0;0
cfdp_library_fm;2;9;0;0;0;0;0
cfdp_library_fm;5;0;0;0;0;0;0
cfdp_library_fm;5;1;0;0;0;0;0
cfdp_library_fm;5;2;0;2;0;2;2
cfdp_library_fm;5;3;0;0;0;0;0
cfdp_library_fm;5;4;0;2;1;1;2
cfdp_library_fm;5;5;0;1;0;2;2
cfdp_library_fm;5;6;0;0;0;0;0
cfdp_library_fm;5;7;1;2;0;2;3
cfdp_library_fm;5;8;0;0;0;0;0
cfdp_library_fm;5;9;1;1;1;1;1
connector_fm;0;0;0;1;1;1;1
connector_fm;0;1;1;0;1;1;2
connector_fm;0;2;0;1;0;1;2
connector_fm;0;3;0;1;1;1;2
connector_fm;0;4;0;1;1;1;1
connector_fm;0;5;0;1;0;1;2
connector_fm;0;6;0;1;1;1;2
connector_fm;0;7;0;1;0;1;1
connector_fm;0;8;0;1;1;1;1
connector_fm;0;9;0;1;0;1;2
connector_fm;2;0;0;0;1;0;1
connector_fm;2;1;0;1;1;1;1
connector_fm;2;2;0;0;0;0;0
