Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime
30-10-0-8;30;10;0;0;6;0;7
30-10-0-9;30;10;0;0;6;1;8
30-10-2-0;30;10;2;1;3;1;3
30-10-2-1;30;10;2;1;2;1;3
30-10-2-2;30;10;2;1;4;1;4
30-10-2-3;30;10;2;1;8;1;9
30-10-2-4;30;10;2;1;5;0;6
30-10-2-5;30;10;2;1;5;0;9
30-10-2-6;30;10;2;1;4;1;6
30-10-2-7;30;10;2;1;2;1;3
30-10-2-8;30;10;2;1;4;1;4
30-10-2-9;30;10;2;1;6;0;9
30-10-5-0;30;10;5;0;3;1;3
30-10-5-1;30;10;5;1;6;1;5
30-10-5-2;30;10;5;1;6;1;8
30-10-5-3;30;10;5;1;4;0;5
30-10-5-4;30;10;5;0;4;0;6
30-10-5-5;30;10;5;1;7;0;10
30-10-5-6;30;10;5;1;8;1;7
30-10-5-7;30;10;5;1;6;0;8
30-10-5-8;30;10;5;0;7;0;8
30-10-5-9;30;10;5;0;8;0;6
30-15-0-0;30;15;0;0;7;0;9
30-15-0-1;30;15;0;1;6;0;9
30-15-0-2;30;15;0;0;6;0;8
30-15-0-3;30;15;0;1;4;2;4
30-15-0-4;30;15;0;1;3;1;5
30-15-0-5;30;15;0;0;8;0;9
30-15-0-6;30;15;0;0;7;1;6
30-15-0-7;30;15;0;0;7;0;9
30-15-0-8;30;15;0;1;5;1;8
30-15-0-9;30;15;0;1;6;0;7
30-15-2-0;30;15;2;1;6;0;7
30-15-2-1;30;15;2;0;5;1;6
30-15-2-2;30;15;2;0;8;0;8
30-15-2-3;30;15;2;0;6;1;8
30-15-2-4;30;15;2;0;5;1;6
30-15-2-5;30;15;2;0;6;0;7
30-15-2-6;30;15;2;0;8;0;7
30-15-2-7;30;15;2;1;5;1;5
30-15-2-8;30;15;2;0;2;1;3
30-15-2-9;30;15;2;1;3;1;5
30-15-5-0;30;15;5;1;2;1;3
30-15-5-1;30;15;5;1;5;1;4
30-15-5-2;30;15;5;1;3;1;3
30-15-5-3;30;15;5;1;2;1;3
30-15-5-4;30;15;5;0;8;1;9
30-15-5-5;30;15;5;1;4;1;4
30-15-5-6;30;15;5;1;0;1;0
30-15-5-7;30;15;5;0;4;1;5
30-15-5-8;30;15;5;1;3;1;3
30-15-5-9;30;15;5;1;4;1;4
50-5-0-0;50;5;0;1;20;1;21
50-5-0-1;50;5;0;1;14;1;16
50-5-0-2;50;5;0;1;17;0;23
50-5-0-3;50;5;0;1;13;2;17
50-5-0-4;50;5;0;1;22;1;26
50-5-0-5;50;5;0;1;19;1;19
50-5-0-6;50;5;0;0;15;1;16
50-5-0-7;50;5;0;1;16;1;15
50-5-0-8;50;5;0;1;19;1;18
50-5-0-9;50;5;0;1;16;1;22
50-5-2-0;50;5;2;0;19;1;18
50-5-2-1;50;5;2;1;16;1;20
50-5-2-2;50;5;2;1;15;0;17
50-5-2-3;50;5;2;1;9;2;14
50-5-2-4;50;5;2;2;5;2;6
50-5-2-5;50;5;2;1;9;2;11
50-5-2-6;50;5;2;1;19;1;17
50-5-2-7;50;5;2;1;11;2;13
50-5-2-8;50;5;2;1;16;2;19
50-5-2-9;50;5;2;1;20;1;15
50-5-5-0;50;5;5;1;16;2;17
50-5-5-1;50;5;5;1;10;2;6
50-5-5-2;50;5;5;1;10;1;14
50-5-5-3;50;5;5;1;16;1;19
50-5-5-4;50;5;5;1;14;1;17
50-5-5-5;50;5;5;1;14;1;18
50-5-5-6;50;5;5;1;14;1;12
50-5-5-7;50;5;5;1;22;1;19
50-5-5-8;50;5;5;1;16;1;15
50-5-5-9;50;5;5;1;10;2;12
50-10-0-0;50;10;0;1;8;1;8
50-10-0-1;50;10;0;1;14;1;15
50-10-0-2;50;10;0;0;21;1;20
50-10-0-3;50;10;0;1;19;1;19
50-10-0-4;50;10;0;0;14;1;17
50-10-0-5;50;10;0;1;16;1;21
50-10-0-6;50;10;0;1;2;2;2
50-10-0-7;50;10;0;1;12;2;10
50-10-0-8;50;10;0;1;10;2;10
50-10-0-9;50;10;0;1;16;2;18
50-10-2-0;50;10;2;2;7;2;7
50-10-2-1;50;10;2;1;11;1;16
50-10-2-2;50;10;2;2;0;2;1
50-10-2-3;50;10;2;2;12;2;15
50-10-2-4;50;10;2;1;10;1;10
50-10-2-5;50;10;2;1;14;2;16
50-10-2-6;50;10;2;2;9;2;9
50-10-2-7;50;10;2;1;15;1;16
50-10-2-8;50;10;2;1;7;2;7
50-10-2-9;50;10;2;0;16;1;19
50-10-5-0;50;10;5;1;14;1;16
50-10-5-1;50;10;5;1;15;2;11
50-10-5-2;50;10;5;1;12;2;11
50-10-5-3;50;10;5;2;11;1;14
50-10-5-4;50;10;5;1;14;1;14
50-10-5-5;50;10;5;2;5;2;6
50-10-5-6;50;10;5;1;11;1;14
50-10-5-7;50;10;5;2;13;2;16
50-10-5-8;50;10;5;1;12;2;13
50-10-5-9;50;10;5;0;16;1;17
50-15-0-0;50;15;0;1;2;1;2
50-15-0-1;50;15;0;1;17;1;17
50-15-0-2;50;15;0;1;14;1;15
50-15-0-3;50;15;0;0;13;1;12
50-15-0-4;50;15;0;1;6;2;5
50-15-0-5;50;15;0;1;18;1;17
50-15-0-6;50;15;0;1;16;1;16
50-15-0-7;50;15;0;1;19;1;20
50-15-0-8;50;15;0;1;14;1;17
50-15-0-9;50;15;0;0;17;1;17
50-15-2-0;50;15;2;1;9;2;6
50-15-2-1;50;15;2;1;18;1;26
50-15-2-2;50;15;2;1;19;2;20
50-15-2-3;50;15;2;0;17;1;17
50-15-2-4;50;15;2;1;18;1;17
50-15-2-5;50;15;2;1;16;1;13
50-15-2-6;50;15;2;1;11;1;12
50-15-2-7;50;15;2;1;14;1;16
50-15-2-8;50;15;2;1;21;1;18
50-15-2-9;50;15;2;2;6;2;6
50-15-5-0;50;15;5;1;19;1;21
50-15-5-1;50;15;5;1;18;0;18
50-15-5-2;50;15;5;1;9;2;7
50-15-5-3;50;15;5;1;7;1;9
50-15-5-4;50;15;5;1;0;2;1
50-15-5-5;50;15;5;1;1;2;1
50-15-5-6;50;15;5;2;11;1;12
50-15-5-7;50;15;5;1;8;2;10
50-15-5-8;50;15;5;1;8;1;12
50-15-5-9;50;15;5;0;14;1;19
100-5-0-0;100;5;0;2;80;4;88
100-5-0-1;100;5;0;2;69;4;72
100-5-0-2;100;5;0;2;50;3;59
100-5-0-3;100;5;0;2;61;2;69
100-5-0-4;100;5;0;2;74;3;76
100-5-0-5;100;5;0;2;72;2;78
100-5-0-6;100;5;0;2;63;2;76
100-5-0-7;100;5;0;1;67;2;81
100-5-0-8;100;5;0;2;74;3;95
100-5-0-9;100;5;0;2;52;3;69
100-5-2-0;100;5;2;3;64;4;69
100-5-2-1;100;5;2;3;31;4;34
100-5-2-2;100;5;2;2;74;3;68
100-5-2-3;100;5;2;3;40;4;49
100-5-2-4;100;5;2;4;51;5;48
100-5-2-5;100;5;2;2;67;3;79
100-5-2-6;100;5;2;3;69;3;76
100-5-2-7;100;5;2;3;62;4;61
100-5-2-8;100;5;2;3;61;3;57
100-5-2-9;100;5;2;4;14;6;17
100-5-5-0;100;5;5;3;58;4;65
100-5-5-1;100;5;5;2;62;3;58
100-5-5-2;100;5;5;2;58;3;57
100-5-5-3;100;5;5;2;39;3;39
100-5-5-4;100;5;5;1;58;3;68
100-5-5-5;100;5;5;1;60;3;75
100-5-5-6;100;5;5;2;70;3;59
100-5-5-7;100;5;5;3;34;4;41
100-5-5-8;100;5;5;1;53;3;55
100-5-5-9;100;5;5;2;50;4;62
100-10-0-0;100;10;0;3;55;3;65
100-10-0-1;100;10;0;3;59;4;55
100-10-0-2;100;10;0;2;67;2;91
100-10-0-3;100;10;0;2;54;4;68
100-10-0-4;100;10;0;2;61;3;62
100-10-0-5;100;10;0;3;15;5;18
100-10-0-6;100;10;0;2;82;2;65
100-10-0-7;100;10;0;2;68;4;69
100-10-0-8;100;10;0;2;45;3;42
100-10-0-9;100;10;0;2;36;4;33
100-10-2-0;100;10;2;2;64;3;65
100-10-2-1;100;10;2;3;23;5;22
100-10-2-2;100;10;2;2;59;3;68
100-10-2-3;100;10;2;3;53;3;55
100-10-2-4;100;10;2;2;73;4;64
100-10-2-5;100;10;2;2;55;2;65
100-10-2-6;100;10;2;2;54;3;51
100-10-2-7;100;10;2;1;72;1;65
100-10-2-8;100;10;2;3;39;4;40
100-10-2-9;100;10;2;2;73;2;76
100-10-5-0;100;10;5;4;38;5;45
100-10-5-1;100;10;5;3;25;5;26
100-10-5-2;100;10;5;3;28;4;31
100-10-5-3;100;10;5;2;61;3;67
100-10-5-4;100;10;5;2;47;4;48
100-10-5-5;100;10;5;3;33;4;30
100-10-5-6;100;10;5;2;42;3;52
100-10-5-7;100;10;5;4;44;5;62
100-10-5-8;100;10;5;3;0;6;0
100-10-5-9;100;10;5;3;32;5;38
100-15-0-0;100;15;0;2;31;4;38
100-15-0-1;100;15;0;2;73;3;75
100-15-0-2;100;15;0;4;33;6;34
100-15-0-3;100;15;0;4;36;6;34
100-15-0-4;100;15;0;2;71;2;73
100-15-0-5;100;15;0;2;70;2;55
100-15-0-6;100;15;0;2;64;3;65
100-15-0-7;100;15;0;2;56;3;56
100-15-0-8;100;15;0;2;56;2;57
100-15-0-9;100;15;0;2;71;3;71
100-15-2-0;100;15;2;2;55;3;69
100-15-2-1;100;15;2;2;59;4;59
100-15-2-2;100;15;2;3;10;3;12
100-15-2-3;100;15;2;1;75;2;76
100-15-2-4;100;15;2;2;64;2;72
100-15-2-5;100;15;2;2;59;3;61
100-15-2-6;100;15;2;4;31;5;34
100-15-2-7;100;15;2;2;56;2;61
100-15-2-8;100;15;2;3;53;4;53
100-15-2-9;100;15;2;2;70;2;71
100-15-5-0;100;15;5;2;46;3;53
100-15-5-1;100;15;5;2;55;3;61
100-15-5-2;100;15;5;3;33;5;39
100-15-5-3;100;15;5;3;48;5;50
100-15-5-4;100;15;5;2;66;3;72
100-15-5-5;100;15;5;2;47;3;43
100-15-5-6;100;15;5;2;44;4;61
100-15-5-7;100;15;5;2;13;5;13
100-15-5-8;100;15;5;1;44;4;49
100-15-5-9;100;15;5;2;63;2;60
200-5-0-0;200;5;0;2;297;7;327
200-5-0-1;200;5;0;14;23;24;32
200-5-0-2;200;5;0;9;279;13;319
200-5-0-3;200;5;0;6;262;9;298
200-5-0-4;200;5;0;7;267;11;263
200-5-0-5;200;5;0;4;276;6;321
200-5-0-6;200;5;0;3;272;4;290
200-5-0-7;200;5;0;4;301;5;332
200-5-0-8;200;5;0;7;246;12;294
200-5-0-9;200;5;0;7;260;11;288
200-5-2-0;200;5;2;11;73;18;96
200-5-2-1;200;5;2;7;261;13;240
200-5-2-2;200;5;2;6;287;10;302
200-5-2-3;200;5;2;5;324;7;252
200-5-2-4;200;5;2;5;297;7;295
200-5-2-5;200;5;2;7;275;12;277
200-5-2-6;200;5;2;6;166;8;234
200-5-2-7;200;5;2;6;324;8;300
200-5-2-8;200;5;2;5;265;7;265
200-5-2-9;200;5;2;3;260;9;243
200-5-5-0;200;5;5;8;253;12;301
200-5-5-1;200;5;5;4;157;12;193
200-5-5-2;200;5;5;4;233;6;269
200-5-5-3;200;5;5;3;269;4;279
200-5-5-4;200;5;5;5;246;8;319
200-5-5-5;200;5;5;6;189;9;212
200-5-5-6;200;5;5;9;251;14;275
200-5-5-7;200;5;5;5;247;6;276
200-5-5-8;200;5;5;8;135;12;114
200-5-5-9;200;5;5;12;72;21;83
200-10-0-0;200;10;0;4;282;5;320
200-10-0-1;200;10;0;5;286;8;290
200-10-0-2;200;10;0;6;228;7;219
200-10-0-3;200;10;0;5;273;8;275
200-10-0-4;200;10;0;8;236;11;249
200-10-0-5;200;10;0;5;291;8;314
200-10-0-6;200;10;0;6;266;8;294
200-10-0-7;200;10;0;7;265;11;246
200-10-0-8;200;10;0;7;237;12;260
200-10-0-9;200;10;0;5;268;9;299
200-10-2-0;200;10;2;6;274;8;274
200-10-2-1;200;10;2;3;247;4;254
200-10-2-2;200;10;2;8;219;12;211
200-10-2-3;200;10;2;7;243;11;273
200-10-2-4;200;10;2;11;120;18;183
200-10-2-5;200;10;2;7;105;11;106
200-10-2-6;200;10;2;9;219;14;205
200-10-2-7;200;10;2;7;167;10;161
200-10-2-8;200;10;2;14;6;25;3
200-10-2-9;200;10;2;4;277;5;315
200-10-5-0;200;10;5;10;211;15;232
200-10-5-1;200;10;5;11;128;18;129
200-10-5-2;200;10;5;10;112;18;121
200-10-5-3;200;10;5;12;78;21;97
200-10-5-4;200;10;5;8;238;14;242
200-10-5-5;200;10;5;9;199;16;201
200-10-5-6;200;10;5;7;250;12;274
200-10-5-7;200;10;5;7;167;11;180
200-10-5-8;200;10;5;7;262;10;272
200-10-5-9;200;10;5;9;205;15;216
200-15-0-0;200;15;0;6;256;10;262
200-15-0-1;200;15;0;5;286;8;268
200-15-0-2;200;15;0;14;14;25;14
200-15-0-3;200;15;0;3;242;4;257
200-15-0-4;200;15;0;6;233;8;217
200-15-0-5;200;15;0;13;40;21;43
200-15-0-6;200;15;0;5;276;7;281
200-15-0-7;200;15;0;4;271;6;279
200-15-0-8;200;15;0;7;242;12;239
200-15-0-9;200;15;0;6;305;8;281
200-15-2-0;200;15;2;7;206;12;195
200-15-2-1;200;15;2;7;203;10;191
200-15-2-2;200;15;2;10;160;16;207
200-15-2-3;200;15;2;10;172;17;142
200-15-2-4;200;15;2;7;229;10;251
200-15-2-5;200;15;2;4;276;5;316
200-15-2-6;200;15;2;8;207;12;243
200-15-2-7;200;15;2;7;221;11;224
200-15-2-8;200;15;2;5;265;7;261
200-15-2-9;200;15;2;6;246;9;270
200-15-5-0;200;15;5;12;149;22;157
200-15-5-1;200;15;5;6;261;10;274
200-15-5-2;200;15;5;7;161;10;130
200-15-5-3;200;15;5;4;47;5;60
200-15-5-4;200;15;5;4;119;13;159
200-15-5-5;200;15;5;8;100;9;122
200-15-5-6;200;15;5;13;0;22;1
200-15-5-7;200;15;5;11;87;17;116
200-15-5-8;200;15;5;3;295;4;285
200-15-5-9;200;15;5;5;203;5;252
300-5-0-0;300;5;0;11;573;11;393
300-5-0-1;300;5;0;12;246;22;263
300-5-0-2;300;5;0;3;410;4;462
300-5-0-3;300;5;0;5;396;9;431
300-5-0-4;300;5;0;9;388;16;387
300-5-0-5;300;5;0;9;170;15;209
300-5-0-6;300;5;0;11;404;19;367
300-5-0-7;300;5;0;15;572;15;520
300-5-0-8;300;5;0;6;599;16;613
300-5-0-9;300;5;0;8;294;19;435
300-5-2-0;300;5;2;16;503;27;530
300-5-2-1;300;5;2;7;531;9;537
300-5-2-2;300;5;2;17;288;31;317
300-5-2-3;300;5;2;3;401;12;452
300-5-2-4;300;5;2;9;394;14;350
300-5-2-5;300;5;2;3;410;9;438
300-5-2-6;300;5;2;9;239;15;316
300-5-2-7;300;5;2;7;493;11;569
300-5-2-8;300;5;2;8;369;14;399
300-5-2-9;300;5;2;11;355;17;366
300-5-5-0;300;5;5;3;325;5;423
300-5-5-1;300;5;5;12;319;21;310
300-5-5-2;300;5;5;16;156;30;147
300-5-5-3;300;5;5;4;354;5;339
300-5-5-4;300;5;5;4;248;5;310
300-5-5-5;300;5;5;11;324;21;306
300-5-5-6;300;5;5;8;308;12;326
300-5-5-7;300;5;5;5;335;14;341
300-5-5-8;300;5;5;10;374;16;402
300-5-5-9;300;5;5;10;411;17;411
300-10-0-0;300;10;0;2;412;8;405
300-10-0-1;300;10;0;5;429;7;420
300-10-0-2;300;10;0;7;390;11;403
300-10-0-3;300;10;0;9;370;14;372
300-10-0-4;300;10;0;5;396;8;425
300-10-0-5;300;10;0;9;425;9;424
300-10-0-6;300;10;0;7;380;13;385
300-10-0-7;300;10;0;7;386;12;409
300-10-0-8;300;10;0;5;417;6;416
300-10-0-9;300;10;0;4;368;4;387
300-10-2-0;300;10;2;3;380;4;404
300-10-2-1;300;10;2;9;306;16;296
300-10-2-2;300;10;2;6;114;8;136
300-10-2-3;300;10;2;6;330;8;332
300-10-2-4;300;10;2;6;415;9;386
300-10-2-5;300;10;2;16;71;28;97
300-10-2-6;300;10;2;18;17;33;20
300-10-2-7;300;10;2;11;330;18;367
300-10-2-8;300;10;2;7;436;8;421
300-10-2-9;300;10;2;11;305;19;329
300-10-5-0;300;10;5;7;306;12;303
300-10-5-1;300;10;5;9;346;15;344
