Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
300-10-0-2;300;10;0;7;564;17;418;496
300-10-0-3;300;10;0;8;374;14;377;444
300-10-0-4;300;10;0;5;393;5;426;499
300-10-0-5;300;10;0;9;426;11;424;520
300-10-0-6;300;10;0;7;382;13;390;474
300-10-0-7;300;10;0;7;387;12;405;508
300-10-0-8;300;10;0;5;417;6;424;497
300-10-0-9;300;10;0;12;366;12;384;486
300-10-2-0;300;10;2;3;378;4;407;476
300-10-2-1;300;10;2;9;306;15;297;381
300-10-2-2;300;10;2;6;113;7;136;194
300-10-2-3;300;10;2;5;322;8;326;382
300-10-2-4;300;10;2;6;414;10;381;453
300-10-2-5;300;10;2;16;71;28;97;186
300-10-2-6;300;10;2;18;17;32;20;89
300-10-2-7;300;10;2;10;314;17;342;440
300-10-2-8;300;10;2;3;434;10;425;502
300-10-2-9;300;10;2;12;319;19;329;407
300-10-5-0;300;10;5;7;305;12;302;369
300-10-5-1;300;10;5;9;344;15;344;425
300-10-5-2;300;10;5;6;321;10;292;358
300-10-5-3;300;10;5;8;217;12;237;332
300-10-5-4;300;10;5;8;335;12;324;385
300-10-5-5;300;10;5;11;272;18;297;362
300-10-5-6;300;10;5;12;282;21;278;372
300-10-5-7;300;10;5;15;186;25;278;360
300-10-5-8;300;10;5;13;207;31;310;325
300-10-5-9;300;10;5;4;398;6;419;465
300-15-0-0;300;15;0;3;365;3;362;442
300-15-0-1;300;15;0;9;406;15;420;513
300-15-0-2;300;15;0;5;436;9;434;513
300-15-0-3;300;15;0;7;387;10;401;472
300-15-0-4;300;15;0;11;115;20;129;192
300-15-0-5;300;15;0;6;406;9;398;482
300-15-0-6;300;15;0;3;380;10;389;463
300-15-0-7;300;15;0;3;374;3;408;476
300-15-0-8;300;15;0;5;373;7;375;460
300-15-0-9;300;15;0;6;391;11;375;448
300-15-2-0;300;15;2;8;287;13;314;374
300-15-2-1;300;15;2;5;365;8;402;483
300-15-2-2;300;15;2;12;194;22;202;286
300-15-2-3;300;15;2;2;274;4;281;339
300-15-2-4;300;15;2;7;137;10;176;254
300-15-2-5;300;15;2;9;417;15;432;525
300-15-2-6;300;15;2;5;357;7;385;455
300-15-2-7;300;15;2;3;397;3;412;481
300-15-2-8;300;15;2;3;428;3;370;429
300-15-2-9;300;15;2;5;455;8;399;455
300-15-5-0;300;15;5;12;324;15;316;383
300-15-5-1;300;15;5;4;252;4;261;309
300-15-5-2;300;15;5;11;333;21;342;426
300-15-5-3;300;15;5;11;187;18;182;237
300-15-5-4;300;15;5;18;110;33;127;215
300-15-5-5;300;15;5;14;43;25;64;134
300-15-5-6;300;15;5;10;394;18;386;453
300-15-5-7;300;15;5;4;379;5;405;472
300-15-5-8;300;15;5;9;388;15;388;442
300-15-5-9;300;15;5;8;280;13;266;341
400-5-0-0;400;5;0;8;811;14;692;821
400-5-0-1;400;5;0;9;761;16;738;883
400-5-0-2;400;5;0;8;675;13;819;988
400-5-0-3;400;5;0;18;477;32;574;794
400-5-0-4;400;5;0;6;777;8;762;887
400-5-0-5;400;5;0;10;897;17;696;825
400-5-0-6;400;5;0;9;710;16;814;916
400-5-0-7;400;5;0;7;818;13;717;869
400-5-0-8;400;5;0;14;659;26;652;826
400-5-0-9;400;5;0;6;775;8;823;903
400-5-2-0;400;5;2;6;780;10;786;1002
400-5-2-1;400;5;2;13;604;22;633;771
400-5-2-2;400;5;2;11;629;18;618;729
400-5-2-3;400;5;2;11;685;19;724;814
400-5-2-4;400;5;2;8;736;14;625;692
400-5-2-5;400;5;2;12;651;20;671;791
400-5-2-6;400;5;2;13;553;22;607;674
400-5-2-7;400;5;2;11;606;19;651;777
400-5-2-8;400;5;2;4;685;6;690;781
400-5-2-9;400;5;2;8;746;13;721;870
400-5-5-0;400;5;5;10;696;16;730;929
400-5-5-1;400;5;5;11;631;21;628;765
400-5-5-2;400;5;5;4;792;6;773;910
400-5-5-3;400;5;5;13;611;22;581;728
400-5-5-4;400;5;5;9;775;14;775;873
400-5-5-5;400;5;5;11;610;18;648;795
400-5-5-6;400;5;5;6;691;9;701;806
400-5-5-7;400;5;5;18;328;31;408;556
400-5-5-8;400;5;5;14;595;23;536;629
400-5-5-9;400;5;5;11;574;18;600;702
400-10-0-0;400;10;0;8;667;13;744;832
400-10-0-1;400;10;0;18;456;55;478;559
400-10-0-2;400;10;0;7;639;12;631;728
400-10-0-3;400;10;0;23;150;42;156;284
400-10-0-4;400;10;0;12;358;34;374;583
400-10-0-5;400;10;0;13;470;18;475;570
400-10-0-6;400;10;0;7;749;13;762;868
400-10-0-7;400;10;0;8;706;13;739;915
400-10-0-8;400;10;0;15;383;27;431;560
400-10-0-9;400;10;0;15;717;27;739;876
400-10-2-0;400;10;2;6;732;9;744;849
400-10-2-1;400;10;2;19;583;37;585;730
400-10-2-2;400;10;2;14;553;23;586;693
400-10-2-3;400;10;2;10;797;17;607;720
400-10-2-4;400;10;2;29;380;90;282;411
400-10-2-5;400;10;2;6;696;10;705;809
400-10-2-6;400;10;2;6;683;8;764;915
400-10-2-7;400;10;2;6;710;8;729;844
400-10-2-8;400;10;2;4;657;6;660;735
400-10-2-9;400;10;2;21;231;38;219;314
400-10-5-0;400;10;5;16;120;28;183;303
400-10-5-1;400;10;5;6;718;8;715;832
400-10-5-2;400;10;5;14;608;24;642;783
400-10-5-3;400;10;5;5;612;7;599;709
400-10-5-4;400;10;5;11;457;19;488;599
400-10-5-5;400;10;5;7;593;9;527;591
400-10-5-6;400;10;5;16;705;31;719;879
400-10-5-7;400;10;5;4;758;5;782;906
400-10-5-8;400;10;5;13;516;21;461;557
400-10-5-9;400;10;5;17;423;31;428;590
400-15-0-0;400;15;0;3;900;14;736;864
400-15-0-1;400;15;0;14;613;24;761;884
400-15-0-2;400;15;0;15;684;27;707;868
400-15-0-3;400;15;0;5;709;7;717;833
400-15-0-4;400;15;0;11;61;12;75;171
400-15-0-5;400;15;0;9;574;14;538;634
400-15-0-6;400;15;0;17;155;18;139;215
400-15-0-7;400;15;0;5;671;13;689;772
400-15-0-8;400;15;0;12;728;21;739;922
400-15-0-9;400;15;0;13;687;24;749;908
400-15-2-0;400;15;2;9;656;14;687;825
400-15-2-1;400;15;2;8;273;50;408;395
400-15-2-2;400;15;2;20;550;39;559;683
400-15-2-3;400;15;2;23;359;42;407;575
400-15-2-4;400;15;2;4;684;4;620;713
400-15-2-5;400;15;2;3;684;15;750;876
400-15-2-6;400;15;2;12;691;21;795;975
400-15-2-7;400;15;2;7;683;9;693;811
400-15-2-8;400;15;2;25;216;47;224;356
400-15-2-9;400;15;2;14;675;26;706;839
400-15-5-0;400;15;5;5;469;6;491;602
400-15-5-1;400;15;5;22;461;39;467;615
400-15-5-2;400;15;5;7;24;7;33;115
400-15-5-3;400;15;5;14;234;22;238;321
400-15-5-4;400;15;5;23;70;41;82;178
400-15-5-5;400;15;5;24;9;44;12;85
400-15-5-6;400;15;5;6;665;9;703;836
400-15-5-7;400;15;5;5;531;6;571;684
400-15-5-8;400;15;5;27;181;50;245;436
400-15-5-9;400;15;5;22;458;40;414;546
500-5-0-0;500;5;0;19;1090;33;1097;1212
500-5-0-1;500;5;0;16;1128;30;1127;1370
500-5-0-2;500;5;0;20;1130;36;1158;1433
500-5-0-3;500;5;0;25;1221;45;1275;1541
500-5-0-4;500;5;0;16;1083;29;1123;1339
500-5-0-5;500;5;0;15;1161;26;1270;1618
500-5-0-6;500;5;0;16;1040;28;1103;1341
500-5-0-7;500;5;0;13;1187;22;1089;1303
500-5-0-8;500;5;0;15;1201;25;1194;1494
500-5-0-9;500;5;0;20;985;34;1122;1335
500-5-2-0;500;5;2;16;1184;29;1043;1224
500-5-2-1;500;5;2;40;97;75;120;309
500-5-2-2;500;5;2;18;1034;31;1064;1364
500-5-2-3;500;5;2;12;1069;17;958;1077
500-5-2-4;500;5;2;20;1056;37;1116;1337
500-5-2-5;500;5;2;17;967;30;1070;1337
500-5-2-6;500;5;2;12;978;16;1057;1153
500-5-2-7;500;5;2;15;1118;26;1110;1331
500-5-2-8;500;5;2;25;778;47;730;963
500-5-2-9;500;5;2;14;1078;21;1144;1367
500-5-5-0;500;5;5;21;990;36;936;1105
500-5-5-1;500;5;5;13;1102;22;992;1135
500-5-5-2;500;5;5;15;902;26;1006;1222
500-5-5-3;500;5;5;32;1133;60;984;1307
500-5-5-4;500;5;5;10;1331;17;1233;1393
500-5-5-5;500;5;5;26;775;46;866;1226
500-5-5-6;500;5;5;22;958;39;1130;1581
500-5-5-7;500;5;5;27;733;49;850;1138
500-5-5-8;500;5;5;17;876;31;981;1171
500-5-5-9;500;5;5;24;743;42;832;1019
500-10-0-0;500;10;0;6;1141;8;1150;1361
500-10-0-1;500;10;0;9;1324;12;1091;1327
500-10-0-2;500;10;0;30;897;55;950;1191
500-10-0-3;500;10;0;46;360;90;395;647
500-10-0-4;500;10;0;10;1125;17;1069;1262
500-10-0-5;500;10;0;16;635;18;633;753
500-10-0-6;500;10;0;31;906;56;944;1141
500-10-0-7;500;10;0;25;1057;45;1096;1359
500-10-0-8;500;10;0;16;988;27;971;1091
500-10-0-9;500;10;0;6;1090;7;1174;1318
500-10-2-0;500;10;2;45;416;139;391;608
500-10-2-1;500;10;2;12;1116;18;993;1146
500-10-2-2;500;10;2;8;1074;11;1113;1319
500-10-2-3;500;10;2;23;1113;44;1174;1472
500-10-2-4;500;10;2;20;621;27;645;789
500-10-2-5;500;10;2;11;1030;17;993;1170
500-10-2-6;500;10;2;6;1168;9;1196;1420
500-10-2-7;500;10;2;23;1094;43;1163;1450
500-10-2-8;500;10;2;27;726;49;524;687
500-10-2-9;500;10;2;5;1122;5;1123;1335
500-10-5-0;500;10;5;27;719;51;727;927
500-10-5-1;500;10;5;38;556;74;581;807
500-10-5-2;500;10;5;9;1074;13;1121;1365
500-10-5-3;500;10;5;11;883;17;969;1087
500-10-5-4;500;10;5;22;1097;40;1178;1394
500-10-5-5;500;10;5;26;897;47;936;1128
500-10-5-6;500;10;5;14;891;22;967;1110
500-10-5-7;500;10;5;11;1009;19;1055;1222
500-10-5-8;500;10;5;13;1270;22;994;1100
500-10-5-9;500;10;5;8;1206;12;1063;1200
500-15-0-0;500;15;0;23;788;40;811;967
500-15-0-1;500;15;0;4;1125;24;1081;1362
500-15-0-2;500;15;0;7;1033;9;1142;1362
500-15-0-3;500;15;0;32;517;59;525;740
500-15-0-4;500;15;0;20;1144;38;1106;1278
500-15-0-5;500;15;0;40;474;72;496;703
500-15-0-6;500;15;0;5;1097;7;1170;1407
500-15-0-7;500;15;0;17;1079;30;1184;1488
500-15-0-8;500;15;0;5;1097;6;1175;1326
500-15-0-9;500;15;0;20;1082;37;1172;1408
500-15-2-0;500;15;2;19;1114;36;1150;1361
500-15-2-1;500;15;2;30;731;56;708;939
500-15-2-2;500;15;2;22;1088;40;1090;1286
500-15-2-3;500;15;2;49;93;94;113;337
500-15-2-4;500;15;2;16;1196;29;1162;1408
500-15-2-5;500;15;2;21;355;37;379;509
500-15-2-6;500;15;2;20;1134;35;1154;1374
500-15-2-7;500;15;2;12;1088;21;1140;1400
500-15-2-8;500;15;2;4;1094;24;1093;1352
500-15-2-9;500;15;2;4;1014;23;1086;1290
500-15-5-0;500;15;5;11;494;17;445;537
500-15-5-1;500;15;5;22;673;40;768;1016
500-15-5-2;500;15;5;50;121;99;121;336
500-15-5-3;500;15;5;23;692;42;714;900
500-15-5-4;500;15;5;4;1125;23;1152;1398
500-15-5-5;500;15;5;23;1148;41;1007;1173
500-15-5-6;500;15;5;9;1023;14;1112;1359
500-15-5-7;500;15;5;7;1037;9;1042;1258
500-15-5-8;500;15;5;21;1077;36;1191;1461
500-15-5-9;500;15;5;7;598;10;592;656
