Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
20-10-2-1;20;10;2;1;3;0;3;4
20-10-2-2;20;10;2;0;5;0;5;5
20-10-2-3;20;10;2;1;1;1;1;2
20-10-2-4;20;10;2;0;0;1;0;1
20-10-2-5;20;10;2;1;0;1;0;1
20-10-2-6;20;10;2;0;4;0;4;5
20-10-2-7;20;10;2;1;1;0;2;2
20-10-2-8;20;10;2;0;5;0;7;7
20-10-2-9;20;10;2;0;3;1;2;4
20-10-5-0;20;10;5;0;4;1;3;5
20-10-5-1;20;10;5;1;4;0;3;4
20-10-5-2;20;10;5;0;3;1;3;4
20-10-5-3;20;10;5;1;4;0;3;3
20-10-5-4;20;10;5;0;2;1;3;4
20-10-5-5;20;10;5;0;1;0;0;1
20-10-5-6;20;10;5;1;3;1;4;5
20-10-5-7;20;10;5;0;4;0;4;4
20-10-5-8;20;10;5;1;1;0;1;2
20-10-5-9;20;10;5;0;3;0;3;4
20-15-0-0;20;15;0;1;5;0;6;7
20-15-0-1;20;15;0;0;0;0;1;1
20-15-0-2;20;15;0;1;3;1;3;5
20-15-0-3;20;15;0;0;1;1;0;1
20-15-0-4;20;15;0;0;2;0;2;3
20-15-0-5;20;15;0;0;3;0;2;2
20-15-0-6;20;15;0;0;4;0;5;6
20-15-0-7;20;15;0;0;4;0;5;5
20-15-0-8;20;15;0;1;2;1;2;3
20-15-0-9;20;15;0;0;3;0;2;3
20-15-2-0;20;15;2;0;2;0;3;3
20-15-2-1;20;15;2;0;3;0;4;5
20-15-2-2;20;15;2;0;8;0;2;3
20-15-2-3;20;15;2;0;2;1;1;2
20-15-2-4;20;15;2;0;3;0;3;4
20-15-2-5;20;15;2;1;1;0;1;2
20-15-2-6;20;15;2;1;1;1;1;2
20-15-2-7;20;15;2;0;2;0;2;2
20-15-2-8;20;15;2;0;1;0;2;2
20-15-2-9;20;15;2;0;2;1;1;2
20-15-5-0;20;15;5;1;1;0;1;2
20-15-5-1;20;15;5;1;1;0;2;3
20-15-5-2;20;15;5;0;0;0;0;0
20-15-5-3;20;15;5;0;1;1;1;2
20-15-5-4;20;15;5;0;2;1;1;3
20-15-5-5;20;15;5;0;0;0;1;1
20-15-5-6;20;15;5;0;1;0;1;2
20-15-5-7;20;15;5;1;1;0;1;2
20-15-5-8;20;15;5;1;1;0;2;3
20-15-5-9;20;15;5;0;2;0;2;2
30-5-0-0;30;5;0;0;6;1;6;10
30-5-0-1;30;5;0;1;6;1;6;7
30-5-0-2;30;5;0;0;4;0;6;7
30-5-0-3;30;5;0;0;6;1;7;9
30-5-0-4;30;5;0;0;4;1;3;4
30-5-0-5;30;5;0;1;5;0;7;9
30-5-0-6;30;5;0;1;2;0;3;4
30-5-0-7;30;5;0;0;5;0;5;6
30-5-0-8;30;5;0;0;3;0;4;5
30-5-0-9;30;5;0;0;4;0;6;5
30-5-2-0;30;5;2;1;4;0;3;5
30-5-2-1;30;5;2;0;4;1;3;5
30-5-2-2;30;5;2;0;1;0;1;1
30-5-2-3;30;5;2;1;5;0;7;8
30-5-2-4;30;5;2;0;4;1;3;4
30-5-2-5;30;5;2;0;5;1;4;5
30-5-2-6;30;5;2;1;3;1;5;7
30-5-2-7;30;5;2;1;1;1;1;1
30-5-2-8;30;5;2;1;3;1;4;6
30-5-2-9;30;5;2;0;5;1;5;7
30-5-5-0;30;5;5;1;3;0;3;4
30-5-5-1;30;5;5;1;4;1;4;6
30-5-5-2;30;5;5;1;3;1;2;4
30-5-5-3;30;5;5;0;1;0;1;2
30-5-5-4;30;5;5;1;3;0;4;5
30-5-5-5;30;5;5;0;3;0;2;2
30-5-5-6;30;5;5;0;2;1;2;3
30-5-5-7;30;5;5;0;5;1;4;6
30-5-5-8;30;5;5;1;3;0;4;6
30-5-5-9;30;5;5;1;3;1;4;5
30-10-0-0;30;10;0;0;5;0;6;8
30-10-0-1;30;10;0;1;3;0;5;7
30-10-0-2;30;10;0;0;1;0;1;2
30-10-0-3;30;10;0;1;3;0;5;6
30-10-0-4;30;10;0;0;3;1;4;6
30-10-0-5;30;10;0;1;2;1;1;3
30-10-0-6;30;10;0;0;5;1;4;6
30-10-0-7;30;10;0;1;5;0;7;8
30-10-0-8;30;10;0;0;4;1;4;5
30-10-0-9;30;10;0;1;3;0;5;7
30-10-2-0;30;10;2;0;2;1;2;4
30-10-2-1;30;10;2;0;2;0;2;4
30-10-2-2;30;10;2;0;3;1;2;3
30-10-2-3;30;10;2;0;5;0;6;7
30-10-2-4;30;10;2;0;3;0;4;5
30-10-2-5;30;10;2;1;3;0;5;9
30-10-2-6;30;10;2;1;2;0;4;5
30-10-2-7;30;10;2;1;1;0;2;2
30-10-2-8;30;10;2;1;2;0;3;3
30-10-2-9;30;10;2;0;4;1;5;6
30-10-5-0;30;10;5;1;1;1;1;3
30-10-5-1;30;10;5;1;3;0;3;4
30-10-5-2;30;10;5;0;4;1;4;6
30-10-5-3;30;10;5;0;3;1;2;4
30-10-5-4;30;10;5;1;2;0;3;5
30-10-5-5;30;10;5;0;5;0;6;8
30-10-5-6;30;10;5;1;4;0;5;6
30-10-5-7;30;10;5;1;4;1;4;6
30-10-5-8;30;10;5;1;4;1;4;5
30-10-5-9;30;10;5;1;4;0;4;4
30-15-0-0;30;15;0;0;4;0;5;7
30-15-0-1;30;15;0;0;4;0;5;7
30-15-0-2;30;15;0;0;4;1;4;6
30-15-0-3;30;15;0;0;3;0;3;3
30-15-0-4;30;15;0;1;2;0;3;4
30-15-0-5;30;15;0;0;4;0;6;7
30-15-0-6;30;15;0;0;4;1;3;5
30-15-0-7;30;15;0;0;5;1;5;7
30-15-0-8;30;15;0;0;3;0;5;6
30-15-0-9;30;15;0;0;4;1;4;8
30-15-2-0;30;15;2;0;4;1;4;5
30-15-2-1;30;15;2;1;2;1;3;5
30-15-2-2;30;15;2;1;4;0;5;6
30-15-2-3;30;15;2;0;4;0;5;7
30-15-2-4;30;15;2;0;3;1;3;5
30-15-2-5;30;15;2;1;3;0;5;5
30-15-2-6;30;15;2;0;4;0;5;6
30-15-2-7;30;15;2;1;3;1;3;4
30-15-2-8;30;15;2;0;2;1;1;3
30-15-2-9;30;15;2;0;2;1;3;4
30-15-5-0;30;15;5;1;1;1;1;2
30-15-5-1;30;15;5;0;4;0;3;4
30-15-5-2;30;15;5;1;2;1;2;3
30-15-5-3;30;15;5;0;2;1;1;3
30-15-5-4;30;15;5;1;4;0;6;8
30-15-5-5;30;15;5;0;3;0;3;4
30-15-5-6;30;15;5;1;0;0;0;1
30-15-5-7;30;15;5;0;2;0;3;4
30-15-5-8;30;15;5;0;2;1;2;3
30-15-5-9;30;15;5;0;3;0;3;4
50-5-0-0;50;5;0;1;12;1;12;18
50-5-0-1;50;5;0;1;9;0;10;12
50-5-0-2;50;5;0;0;11;0;14;19
